label,text,lex_feats
1,"Som spokojný, získal som informácie, ktoré som požadoval. Ďakujem","[0.34732145071029663, 0.04341518133878708, 8.0, 0.8888888955116272, 0.34732145071029663, 0.0, 0.21875, 0.0, 0.0, 0.0]"
1,Skvely mily pristup. Dakujem:),"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,"Jaroslav urobil maximum pre promptne a ferove vyriesenei mojho problemu. Ocenujem tento pristup a dufam, ze tento excelentny pristup <COMPANY4> adekvatne ohodnoti.","[-0.1111111119389534, -0.02777777798473835, 4.0, 0.1818181872367859, 0.0, -0.1111111119389534, 0.0, -0.0555555559694767, 0.0, 0.0]"
0,"Prial by som si intenzivnejsiu spolupracu s C&A, castejsie a dlhsie trvajuce zlavy.","[-0.2539682388305664, -0.05079364776611328, 5.0, 0.3571428656578064, 0.01785714365541935, -0.2718254029750824, 0.01785714365541935, -0.1607142835855484, 0.0, 0.0]"
1,"Profesionálny, ústretový a kompetentný prístup k zákazníkovi. Sama by som v práci privítala takú kolegyňu","[0.5181599855422974, 0.04710545390844345, 11.0, 0.7333333492279053, 0.7229089736938477, -0.20474910736083984, 0.5833333134651184, -0.125, 1.0, 0.0]"
1,Najochotnejsi a schopny,"[-0.0555555559694767, -0.0555555559694767, 1.0, 0.3333333432674408, 0.0, -0.0555555559694767, 0.0, -0.0555555559694767, 0.0, 0.0]"
0,"Super prevadzka, čo sa tyka obsluhy, čistoty a sortimentu je všetko v poriadku len ma trošku obťasžuje zbytočne veľa otázok od obsluhy chodim na rôzne čerpačky a niekedy my je veru tej obsluhy lúto čo všetko musia zo seba vydať. Je to nutne, alebo to musia alebo to nebodaj sami chcú?","[0.3375992178916931, 0.013503968715667725, 25.0, 0.4901960790157318, 0.9882936477661133, -0.6506944298744202, 0.375, -0.1875, 0.0, 0.0]"
1,"fajn, príjemný personál","[0.5803571343421936, 0.1934523731470108, 3.0, 1.0, 0.5803571343421936, 0.0, 0.3125, 0.0, 0.0, 0.0]"
1,"Absolútne profesionálny a pritom veľmi ľudský, milý prístup. Vsetko, čo som potrebovala, mi bolo jednoducho, zrozumiteľne, ale pritom   kvalitne vysvetlené. Cítila som sa veľmi dobre 😃. Ďakuje a som maximálne spokojná .","[1.5870040655136108, 0.06612516939640045, 24.0, 0.800000011920929, 2.323115110397339, -0.7361111640930176, 0.5416666865348816, -0.4375, 2.0, 0.0]"
1,Veľmi príjemná a usmiata osoba. S vybavením mojej žiadosti som bola veľmi spokojná,"[0.5327560901641846, 0.0484323725104332, 11.0, 0.8461538553237915, 0.7490259408950806, -0.2162698358297348, 0.2678571343421936, -0.1607142835855484, 0.0, 0.0]"
1,pristup ako ma biť,"[-0.03125, -0.010416666977107525, 3.0, 0.75, 0.0, -0.03125, 0.0, -0.03125, 0.0, 0.0]"
1,Vynikajúca pumpa v centre mesta.,"[0.8263888955116272, 0.16527777910232544, 5.0, 1.0, 0.8263888955116272, 0.0, 0.8125, 0.0, 1.0, 0.0]"
1,"Mila, ustretova, pomoze, poradi pozistuje.Dakujem","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,"Super, bolo to rýchlo vybavené a všetko pekne vysvetlené bez zbytočných otázok a zdržovania sa.","[0.20466268062591553, 0.020466268062591553, 10.0, 0.6666666865348816, 0.6386904716491699, -0.434027761220932, 0.375, -0.1666666716337204, 0.0, 0.0]"
1,"mila, kominkativna s prijemnym hlasom. mali by jej zvysit plat! :P","[-0.013690464198589325, -0.0027380927931517363, 5.0, 0.4545454680919647, 0.14702381193637848, -0.1607142835855484, 0.06666667014360428, -0.1607142835855484, 0.0, 0.0]"
1,bol super,"[0.09285714477300644, 0.04642857238650322, 2.0, 1.0, 0.09285714477300644, 0.0, 0.07500000298023224, 0.0, 0.0, 0.0]"
1,Na +1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,super personal,"[0.07500000298023224, 0.07500000298023224, 1.0, 0.5, 0.07500000298023224, 0.0, 0.07500000298023224, 0.0, 0.0, 0.0]"
0,S Romanom som nekomunikovala,"[-0.184523805975914, -0.0615079365670681, 3.0, 0.75, 0.01785714365541935, -0.2023809552192688, 0.01785714365541935, -0.1607142835855484, 0.0, 0.0]"
1,"Operátor veľmi milí, profesionálny  a ochotný, a aj keď som volala dosť nahnevaná  a dokonca som už bola rozhodnutá zmluvu okamžite vypovedať, bol tak ústretový, že som tak neurobila. Ale čo sa týka info, ktorú mi dal, že  ceny vo faktúre sú bez DPH ma veľmi rozhnevalo. Predajcovia neinformujú, že ceny ktoré ponúkajú nie sú s DPH a  vnímam to ako  zavádzanie klienta a nepoctivý predaj, kde je dôležitá len kvantita a nie kvalita. Mám u Vás 7 čísel, takže ten cenový rozdiel po tomto zistení pri fakturach ozaj pociťujem. A tak ako mi to vysvetlil agent call centra, tak to mal poňať aj pracovník na pobočke. Ešte raz vďaka za prístup pán Michal.","[0.3400793671607971, 0.0047898502089083195, 71.0, 0.6283186078071594, 2.927182674407959, -2.5871031284332275, 0.5416666865348816, -0.375, 1.0, 0.0]"
1,Profi prístup ďakujem Juraj,"[0.013888888992369175, 0.0069444444961845875, 2.0, 0.5, 0.013888888992369175, 0.0, 0.013888888992369175, 0.0, 0.0, 0.0]"
1,"Nemam co vytknut, vzdy ked pridem je velmi prijemny a ochotny a vzdy vybavim co potrebujem takze maximalna spokojnost, kiezby takuto ludia pracovali aj v inych odvetiach.","[-0.5307539701461792, -0.058972664177417755, 9.0, 0.3333333432674408, 0.01785714365541935, -0.5486111044883728, 0.01785714365541935, -0.4375, 0.0, 0.0]"
1,"Veľmi milý a ochotný, zodpovedal moje otázky, nastavil čo som potrebovala a poradil, u mňa má 1.","[0.5796626806259155, 0.044589437544345856, 13.0, 0.8125, 1.128273844718933, -0.5486111044883728, 0.5416666865348816, -0.4375, 1.0, 0.0]"
1,"Dobrý deň, Veronike chcem poďakovať za profesionálny prístup, ochotu a trpezlivosť. Poradila mi a všetko mi vysvetlila. Bola som veľmi spokojná. V predajni som bola s dcérou, ktorá taktiež hovorila, že je na 100% spokojná s prístupom Veroniky. Ďakujeme.","[0.7971320748329163, 0.025713937357068062, 31.0, 0.8157894611358643, 1.417171835899353, -0.6200396418571472, 0.5852272510528564, -0.1607142835855484, 1.0, 0.0]"
0,Bodaj by vas porantalo aj celym <COMPANY4> banda ojebavacska,"[-0.0416666679084301, -0.013888888992369175, 3.0, 0.3333333432674408, 0.0, -0.0416666679084301, 0.0, -0.0416666679084301, 0.0, 0.0]"
1,"Ako predajca vedel poradiť vysvetliť predať produkt. Keby boli všetci taký predajci, ale nie každému zákazníkovi sa vyhovieť.","[-0.0008928477764129639, -8.116797835100442e-05, 11.0, 0.6111111044883728, 0.2053571492433548, -0.20624999701976776, 0.125, -0.17499999701976776, 0.0, 0.0]"
1,Príjemný prístup k zakaznikovi,"[0.29136142134666443, 0.09712047129869461, 3.0, 0.75, 0.29136142134666443, 0.0, 0.2678571343421936, 0.0, 0.0, 0.0]"
1,"Slušná,milá,profesionálna a ochotná komunikácia! Chválim Tomáša! :-)","[1.2311056852340698, 0.17587223649024963, 7.0, 0.875, 1.2866612672805786, -0.0555555559694767, 0.5416666865348816, -0.0555555559694767, 1.0, 0.0]"
0,"Dobry den,bola som sklamana z toho ze mi na vasej help linkefSlovna nevedelu pomoct s odblokovanim telefonu,musrla som dnes navstivit vase obchodne miesto v Michalovciach","[-0.8761977553367615, -0.07965434342622757, 11.0, 0.40740740299224854, 0.06576655805110931, -0.9419642686843872, 0.01785714365541935, -0.75, 0.0, 1.0]"
1,Chcela by som Lukášovi veľmi pekne poďakovať za prístup a ochotu . S takýmto pozitívnym a profesionálnym prístupom som sa ešte nestretla. Môj problém vyriešil promtne k mojej spokojnosti hoci možno ani nemusel. Patrí mu moje poďakovanie.,"[0.10835051536560059, 0.004710891749709845, 23.0, 0.6388888955116272, 0.9192383885383606, -0.8108879327774048, 0.375, -0.1875, 0.0, 0.0]"
1,Jozef mi vsetko povedal apomohol  Dakujem.,"[0.01923076994717121, 0.009615384973585606, 2.0, 0.3333333432674408, 0.01923076994717121, 0.0, 0.01923076994717121, 0.0, 0.0, 0.0]"
1,"Ochotný, profesionálny prístup. Ďakujeme","[0.3933531939983368, 0.0983382984995842, 4.0, 1.0, 0.3933531939983368, 0.0, 0.34375, 0.0, 0.0, 0.0]"
1,"Pri vyzdvihnutí nového telefónu mi poradil fantastickú appku ""Clone it"", ktorá mi ušetrila kopec nervov. Naozaj veľmi veľká vďaka!!! P.S. Brala som si nový Huawei P9 Plus a Marián sa snažil nájsť mi k nemu aj puzdro,no nemali ste. Gumenné puzdro bolo v balení k telefónu aj s fóliou na sklo....už to bude vedieť. Ešte raz ďakujem Spokojná zákazníčka Andrea","[0.26217949390411377, 0.00582621106877923, 45.0, 0.7142857313156128, 1.297893762588501, -1.0357142686843872, 0.21875, -0.3125, 0.0, 0.0]"
1,skvelý prístup a rady,"[0.6845237612724304, 0.1711309403181076, 4.0, 1.0, 0.7400793433189392, -0.0555555559694767, 0.7083333134651184, -0.0555555559694767, 1.0, 0.0]"
0,"Daný problém som riešil podľa pokynov , ale nevyriešil sa","[-0.1253720223903656, -0.02507440373301506, 5.0, 0.5555555820465088, 0.0491071417927742, -0.1744791716337204, 0.03125, -0.1328125, 0.0, 0.0]"
1,Veľmi dobre chcem mu poďakovať za ochotu :),"[0.29374998807907104, 0.05874999612569809, 5.0, 0.7142857313156128, 0.38749998807907104, -0.09375, 0.3125, -0.09375, 0.0, 0.0]"
1,"Otvoreny pristup, porozumenie, ustretovost a podrobne odpovede na moje otazky. Dakujem.","[0.44292932748794556, 0.11073233187198639, 4.0, 0.3636363744735718, 0.49848484992980957, -0.0555555559694767, 0.2750000059604645, -0.0555555559694767, 0.0, 0.0]"
1,"Slečna bola veľmi milá a vybavila moju požiadavku ochotne a rýchlo, bola som s jej prístupom ku mne veľmi spokojná. Prajem vám veľa takýchto zamestnancov","[1.0219169855117798, 0.05109585076570511, 20.0, 0.800000011920929, 1.3874924182891846, -0.3655754029750824, 0.5416666865348816, -0.1607142835855484, 1.0, 0.0]"
0,Dlho som čakal vela ludi vždy ked pridem málo pracovníkov.,"[-0.12232141941785812, -0.01747448928654194, 7.0, 0.699999988079071, 0.2053571492433548, -0.3276785612106323, 0.1875, -0.1964285671710968, 0.0, 0.0]"
1,Dakujem za profesionalny pristup..Dakujem <SIGNATURE>,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,"Velmi mila a ustretova pani, som velmi spokojna!","[-0.0376984104514122, -0.012566137127578259, 3.0, 0.375, 0.01785714365541935, -0.0555555559694767, 0.01785714365541935, -0.0555555559694767, 0.0, 0.0]"
1,chcem podakovat za rychle obslúženie a mili pristup s pozdravením,"[-0.310019850730896, -0.10333994776010513, 3.0, 0.30000001192092896, 0.0, -0.310019850730896, 0.0, -0.1607142835855484, 0.0, 0.0]"
1,"Príjemný personál, vedia poradiť, proste personál ako má byť.","[0.4419642686843872, 0.0552455335855484, 8.0, 0.8888888955116272, 0.4732142686843872, -0.03125, 0.2678571343421936, -0.03125, 0.0, 0.0]"
0,Hodinu cakat na prepojenie,"[0.05000000074505806, 0.02500000037252903, 2.0, 0.5, 0.05000000074505806, 0.0, 0.05000000074505806, 0.0, 0.0, 0.0]"
0,"Maximálne ma oklamali,pokazená bola sim karta,nevymenili mi ju,že sa to nedá,musel som si požiadať o novú sim kartu s iným číslom","[0.3538690209388733, 0.02211681380867958, 16.0, 0.6399999856948853, 0.7377975583076477, -0.3839285671710968, 0.5, -0.1607142835855484, 1.0, 0.0]"
1,Super sortiment .,"[0.07500000298023224, 0.07500000298023224, 1.0, 0.5, 0.07500000298023224, 0.0, 0.07500000298023224, 0.0, 0.0, 0.0]"
1,Príjemný prístup.,"[0.2817460298538208, 0.1408730149269104, 2.0, 1.0, 0.2817460298538208, 0.0, 0.2678571343421936, 0.0, 0.0, 0.0]"
0,Asistent bol v pohode ale vase sluzby su na prd. S pozdravom váš nespokojný zákazník ktorý cez dovolenku ruší vsetko co ma s vašou spoločnosťou :),"[-0.7566964626312256, -0.04451155662536621, 17.0, 0.6800000071525574, 0.184523805975914, -0.941220223903656, 0.1041666641831398, -0.375, 0.0, 0.0]"
1,super prístup príjemné vystupovanie a ochota len tak ďalej :-),"[0.1636904776096344, 0.0204613097012043, 8.0, 0.8888888955116272, 0.4067460000514984, -0.2430555522441864, 0.2678571343421936, -0.1875, 0.0, 0.0]"
1,Prijemne pumparky a ochotne,"[0.1944444477558136, 0.0972222238779068, 2.0, 0.5, 0.25, -0.0555555559694767, 0.25, -0.0555555559694767, 0.0, 0.0]"
1,"Prijemny,ustretovy,velmi napomocny.Vsetko dopodrobna vysvetlil.Takto ma vyzerat top predajca!","[0.75, 0.15000000596046448, 5.0, 0.4166666567325592, 0.75, 0.0, 0.625, 0.0, 1.0, 0.0]"
1,"nikdy nie je preplnená, netreba tam čakať, natankujete a fičíte ako z teamu formuly1, chcelo by ju to len troška rekonštruovať a fajn by bolo oživiť podnik hore, keby sa našiel preň ůcel, ktorý by mu išiel","[-0.48139289021492004, -0.02188149467110634, 22.0, 0.5945945978164673, 0.5505515336990356, -1.0319443941116333, 0.3125, -0.1875, 0.0, 0.0]"
1,Ochotný personál😀,"[0.34375, 0.171875, 2.0, 1.0, 0.34375, 0.0, 0.34375, 0.0, 0.0, 0.0]"
1,velmi príjemné vystupovanie a ochota,"[0.2539682388305664, 0.0634920597076416, 4.0, 0.800000011920929, 0.3095237910747528, -0.0555555559694767, 0.2678571343421936, -0.0555555559694767, 0.0, 0.0]"
